#Run-Nmb,scanned Para
#HEPHY-Backside biased,threshold scan
341,20
342,35
343,50
344,65
345,80
346,95
347,110
348,125
349,140
350,155
351,170
352,185
353,200
354,215
355,230
356,245
357,260
358,275
359,290
360,305
361,320
362,335
363,350
364,365
365,380
366,395
#HEPHY-Backside biased,HV scan
372,-500
373,-495
374,-490
375,-485
376,-480
377,-475
378,-470
379,-465
380,-460
381,-455
382,-450
383,-445
384,-440
385,-435
386,-430
387,-425
388,-420
389,-415
390,-410
391,-405
392,-400
393,-395
394,-390
395,-385
396,-380
397,-375
398,-370
399,-365
400,-360
401,-355
402,-350
403,-345
404,-340
405,-335
406,-330
407,-325
408,-320
409,-315
410,-310
411,-305
412,-300
413,-295
414,-290
415,-285
416,-280
417,-275
418,-270
419,-265
420,-260
421,-255
422,-250
423,-245
424,-240
425,-235
426,-230
427,-225
428,-220
429,-215
430,-210
431,-205
432,-200
433,-195
434,-190
435,-185
436,-180
437,-175
438,-170
439,-165
440,-160
441,-155
442,-150
443,-145
444,-140
445,-135
446,-130
447,-125
448,-120
449,-115
450,-110
451,-105
452,-100
453,-95
454,-90
455,-85
456,-80
457,-75
458,-70
459,-65
460,-60
461,-55
462,-50
463,-45
464,-40
465,-35
